Az (Rot),El (Rot),Time
195.8000031,81.79000092,11:59:05
195.8300018,81.79000092,11:59:06
195.8500061,81.79000092,11:59:07
195.8800049,81.79000092,11:59:08
195.9100037,81.79000092,11:59:09
195.9199982,81.79000092,11:59:10
195.9600067,81.77999878,11:59:11
195.9700012,81.77999878,11:59:12
196,81.77999878,11:59:13
196.0299988,81.77999878,11:59:14
196.0500031,81.77999878,11:59:15
196.0800018,81.77999878,11:59:16
196.1000061,81.77999878,11:59:17
196.1300049,81.77999878,11:59:18
196.1600037,81.77999878,11:59:19
196.1699982,81.77999878,11:59:20
196.2100067,81.77999878,11:59:21
196.2200012,81.76999664,11:59:22
196.25,81.76999664,11:59:23
196.2799988,81.76999664,11:59:24
196.2899933,81.76999664,11:59:25
196.3300018,81.76999664,11:59:26
196.3399963,81.76999664,11:59:27
196.3800049,81.76999664,11:59:28
196.4100037,81.76999664,11:59:29
196.4199982,81.76999664,11:59:30
196.4499969,81.76999664,11:59:31
196.4700012,81.76000214,11:59:32
196.5,81.76000214,11:59:33
196.5399933,81.76000214,11:59:34
196.5500031,81.76000214,11:59:35
196.5800018,81.76000214,11:59:36
196.5899963,81.76000214,11:59:37
196.6300049,81.76000214,11:59:38
196.6600037,81.76000214,11:59:39
196.6799927,81.76000214,11:59:40
196.7200012,81.76000214,11:59:41
196.75,81.75,11:59:42
196.7799988,81.75,11:59:43
196.7899933,81.75,11:59:44
196.8200073,81.75,11:59:46
196.8399963,81.75,11:59:47
196.8699951,81.75,11:59:48
196.8999939,81.75,11:59:49
196.9100037,81.75,11:59:50
196.9499969,81.75,11:59:51
196.9600067,81.75,11:59:52
196.9900055,81.75,11:59:53
197.0200043,81.73999786,11:59:54
196.9100037,81.75,11:59:55
196.5500031,81.76000214,11:59:56
196.3099976,81.76999664,11:59:57
195.8000031,81.80000305,11:59:58
195.2799988,81.81999969,11:59:59
195.0299988,81.83000183,12:00:00
194.5,81.83999634,12:00:01
194.25,81.84999847,12:00:02
193.7100067,81.87000275,12:00:03
193.1799927,81.88999939,12:00:04
192.9199982,81.90000153,12:00:05
192.3800049,81.91000366,12:00:06
192.1199951,81.91999817,12:00:07
191.5800018,81.93000031,12:00:08
191.0399933,81.94999695,12:00:09
190.7799988,81.94999695,12:00:10
190.2200012,81.97000122,12:00:11
189.9499969,81.97000122,12:00:12
189.3899994,81.98000336,12:00:13
188.8500061,81.98000336,12:00:14
188.5800018,81.98999786,12:00:15
188.0200043,81.98999786,12:00:16
187.7599945,82,12:00:17
187.1900024,82.01000214,12:00:18
186.6399994,82.01000214,12:00:19
186.3699951,82.01999664,12:00:20
185.8200073,82.01999664,12:00:21
185.5500031,82.02999878,12:00:22
184.9799957,82.02999878,12:00:23
184.4299927,82.04000092,12:00:24
184.1600037,82.04000092,12:00:25
183.5899963,82.04000092,12:00:26
183.3200073,82.04000092,12:00:27
182.7599945,82.05000305,12:00:28
182.1999969,82.05000305,12:00:29
181.9299927,82.05000305,12:00:30
181.3600006,82.05000305,12:00:31
181.0899963,82.05000305,12:00:32
180.5099945,82.05000305,12:00:33
179.9600067,82.05000305,12:00:34
179.6999969,82.05000305,12:00:35
179.1399994,82.05000305,12:00:36
178.8699951,82.05000305,12:00:37
178.2899933,82.05000305,12:00:38
177.7400055,82.05000305,12:00:39
177.4499969,82.04000092,12:00:40
176.9100037,82.04000092,12:00:41
176.6399994,82.04000092,12:00:42
176.0800018,82.02999878,12:00:43
175.5599976,82.02999878,12:00:44
175.3200073,82.01999664,12:00:45
174.8600006,82.01999664,12:00:46
174.6600037,82.01999664,12:00:47
174.2799988,82.01000214,12:00:48
173.9400024,82.01000214,12:00:49
173.7799988,82,12:00:50
173.4799957,82,12:00:51
173.3399963,82,12:00:52
173.0800018,81.98999786,12:00:53
172.8600006,81.98999786,12:00:54
172.7400055,81.98999786,12:00:55
172.5500031,81.98000336,12:00:56
172.4499969,81.98000336,12:00:57
172.2899933,81.98000336,12:00:58
172.1499939,81.98000336,12:00:59
172.0800018,81.97000122,12:01:00
171.9600067,81.97000122,12:01:01
171.8999939,81.97000122,12:01:02
171.8000031,81.97000122,12:01:03
171.7100067,81.97000122,12:01:04
171.6600037,81.97000122,12:01:05
171.5899963,81.97000122,12:01:06
171.5599976,81.95999908,12:01:07
171.5,81.95999908,12:01:08
171.4400024,81.95999908,12:01:09
171.4199982,81.95999908,12:01:10
171.3800049,81.95999908,12:01:11
171.3600006,81.95999908,12:01:12
171.3300018,81.95999908,12:01:13
171.3099976,81.95999908,12:01:14
171.2899933,81.95999908,12:01:15
171.2700043,81.95999908,12:01:16
171.2700043,81.95999908,12:01:17
171.2599945,81.95999908,12:01:18
171.25,81.95999908,12:01:19
171.25,81.95999908,12:01:20
171.25,81.95999908,12:01:21
171.25,81.95999908,12:01:22
171.25,81.95999908,12:01:23
171.25,81.95999908,12:01:24
171.2599945,81.95999908,12:01:25
171.2599945,81.95999908,12:01:26
171.2599945,81.95999908,12:01:27
171.2799988,81.95999908,12:01:28
171.2899933,81.95999908,12:01:29
171.3000031,81.95999908,12:01:30
171.3099976,81.95999908,12:01:31
171.3200073,81.95999908,12:01:32
171.3399963,81.95999908,12:01:33
171.3600006,81.95999908,12:01:34
171.3699951,81.95999908,12:01:35
171.3899994,81.95999908,12:01:36
171.3999939,81.95999908,12:01:37
171.4199982,81.95999908,12:01:38
171.4400024,81.97000122,12:01:39
171.4600067,81.97000122,12:01:40
171.4900055,81.97000122,12:01:41
171.4900055,81.97000122,12:01:42
171.5200043,81.97000122,12:01:43
171.5500031,81.97000122,12:01:44
171.5599976,81.97000122,12:01:45
171.5899963,81.97000122,12:01:46
171.6000061,81.97000122,12:01:47
171.6300049,81.97000122,12:01:48
171.6600037,81.97000122,12:01:49
171.6699982,81.97000122,12:01:50
171.6999969,81.97000122,12:01:51
171.7200012,81.97000122,12:01:52
171.7599945,81.97000122,12:01:53
171.7799988,81.97000122,12:01:54
171.7899933,81.97000122,12:01:55
171.8200073,81.97000122,12:01:56
171.8399963,81.97000122,12:01:57
171.8699951,81.98000336,12:01:58
171.8999939,81.98000336,12:01:59
171.9100037,81.98000336,12:02:00
171.9400024,81.98000336,12:02:01
171.9600067,81.98000336,12:02:02
171.9900055,81.98000336,12:02:03
172.0200043,81.98000336,12:02:04
172.0399933,81.98000336,12:02:05
172.0700073,81.98000336,12:02:06
172.0800018,81.98000336,12:02:07
172.1100006,81.98000336,12:02:08
172.1399994,81.98000336,12:02:09
172.1799927,81.98000336,12:02:10
172.2200012,81.98000336,12:02:11
172.25,81.98000336,12:02:12
172.3099976,81.94999695,12:02:13
172.3899994,81.91000366,12:02:14
172.4799957,81.84999847,12:02:15
172.5099945,81.83000183,12:02:16
172.5599976,81.80000305,12:02:17
172.6199951,81.76999664,12:02:18
172.6399994,81.76000214,12:02:20
172.6900024,81.73999786,12:02:21
172.7200012,81.72000122,12:02:22
172.7599945,81.69999695,12:02:23
172.8099976,81.68000031,12:02:24
172.8300018,81.66999817,12:02:25
172.8699951,81.66000366,12:02:26
172.8899994,81.65000153,12:02:27
172.9299927,81.63999939,12:02:28
172.9799957,81.62000275,12:02:29
173,81.62000275,12:02:30
173.0299988,81.61000061,12:02:31
173.0500031,81.59999847,12:02:32
173.0899963,81.58999634,12:02:33
173.1199951,81.58000183,12:02:34
173.1399994,81.58000183,12:02:35
173.1699982,81.56999969,12:02:36
173.1900024,81.56999969,12:02:37
173.2299957,81.55999756,12:02:38
173.2599945,81.55999756,12:02:39
173.2799988,81.55999756,12:02:40
173.3099976,81.55000305,12:02:41
173.3300018,81.55000305,12:02:42
173.3699951,81.55000305,12:02:43
173.3999939,81.54000092,12:02:44
173.4199982,81.54000092,12:02:45
173.4499969,81.54000092,12:02:46
173.4700012,81.54000092,12:02:47
173.5099945,81.52999878,12:02:48
173.5500031,81.52999878,12:02:49
173.5599976,81.52999878,12:02:50
173.5899963,81.52999878,12:02:51
173.6100006,81.52999878,12:02:52
173.6499939,81.52999878,12:02:53
173.6799927,81.51999664,12:02:54
173.6999969,81.51999664,12:02:55
173.7200012,81.51999664,12:02:56
173.7400055,81.51999664,12:02:57
173.7799988,81.51999664,12:02:58
173.8200073,81.51999664,12:02:59
173.8300018,81.51999664,12:03:00
173.8600006,81.51999664,12:03:01
173.8800049,81.51999664,12:03:02
173.9100037,81.51999664,12:03:03
173.9400024,81.51999664,12:03:04
173.9600067,81.51999664,12:03:05
173.9900055,81.51999664,12:03:06
174,81.51999664,12:03:07
174.0399933,81.51999664,12:03:08
174.0700073,81.51999664,12:03:09
174.0899963,81.51999664,12:03:10
174.1199951,81.51999664,12:03:11
174.1399994,81.51999664,12:03:12
174.1600037,81.51999664,12:03:13
174.1900024,81.51999664,12:03:14
174.2100067,81.51999664,12:03:15
174.25,81.51999664,12:03:16
174.2599945,81.51999664,12:03:17
174.2899933,81.51999664,12:03:18
174.3200073,81.51999664,12:03:19
174.3300018,81.51999664,12:03:20
174.3699951,81.51999664,12:03:21
174.3899994,81.51999664,12:03:22
174.4199982,81.51999664,12:03:23
174.4499969,81.51999664,12:03:24
174.4600067,81.51999664,12:03:25
174.4900055,81.51999664,12:03:26
174.5099945,81.51999664,12:03:27
174.5399933,81.51999664,12:03:28
174.5800018,81.51999664,12:03:29
174.5899963,81.51999664,12:03:30
174.6000061,81.51999664,12:03:31
174.6100006,81.51999664,12:03:32
174.6199951,81.51999664,12:03:33
174.6399994,81.51999664,12:03:34
174.6499939,81.51999664,12:03:35
174.6799927,81.51999664,12:03:36
174.7100067,81.51999664,12:03:37
174.7299957,81.51999664,12:03:38
174.7700043,81.51999664,12:03:39
174.7899933,81.51999664,12:03:40
174.8200073,81.51999664,12:03:41
