Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2026-07-10,11:38:41.597,4.0139664633898064e-05,-43.964263916015625,-118.70039367675781,381.6257629394531,336.33001708984375,45.295745849609375,,3.0992629528045654,420.4190979003906,0.8632042407989502,8.011956214904785,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.45225524902344,84.14958190917969,12.14864444732666,2.23679256439209,0,10,0,0,2026-07-10T15:38:41.597Z,153.94000244140625,83.9800033569336,0,0,
2026-07-10,11:38:42.600,4.0413724491372705e-05,-43.93471145629883,-118.67274475097656,384.062744140625,336.33001708984375,47.73272705078125,,3.0992629528045654,443.0382995605469,0.8687164783477783,8.063118934631348,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.4854278564453,84.15088653564453,12.148624420166016,2.2367725372314453,0,10,0,0,2026-07-10T15:38:42.600Z,154.11000061035156,83.98999786376953,0,0,
2026-07-10,11:38:43.599,4.0066624933388084e-05,-43.972171783447266,-118.707763671875,380.9781799316406,336.33001708984375,44.648162841796875,,3.0992629528045654,414.408447265625,0.861739456653595,7.998360633850098,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.51861572265625,84.15219116210938,12.148606300354004,2.2367544174194336,0,10,0,0,2026-07-10T15:38:43.599Z,154.44000244140625,84,0,0,
2026-07-10,11:38:44.602,4.021713539259508e-05,-43.95589065551758,-118.692138671875,382.35186767578125,336.33001708984375,46.0218505859375,,3.0992629528045654,427.1585388183594,0.8648466467857361,8.027199745178223,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.5518341064453,84.15349578857422,12.148587226867676,2.2367353439331055,0,10,0,0,2026-07-10T15:38:44.602Z,154.5800018310547,84.01000213623047,0,0,
2026-07-10,11:38:45.621,4.045572495670058e-05,-43.930198669433594,-118.66674041748047,384.5944519042969,336.33001708984375,48.264434814453125,,3.0992629528045654,447.9734191894531,0.8699191212654114,8.074281692504883,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.58505249023438,84.15480041503906,12.148569107055664,2.2367172241210938,0,10,0,0,2026-07-10T15:38:45.621Z,154.85000610351562,84.0199966430664,0,0,
2026-07-10,11:38:46.624,4.0386752516496927e-05,-43.9376106262207,-118.67528533935547,383.8384094238281,336.33001708984375,47.508392333984375,,3.0992629528045654,440.9560852050781,0.8682090640068054,8.058408737182617,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.6182861328125,84.15609741210938,12.14854907989502,2.236697196960449,0,10,0,0,2026-07-10T15:38:46.624Z,155.11000061035156,84.02999877929688,0,0,
2026-07-10,11:38:47.622,3.999056571046822e-05,-43.98042297363281,-118.71711730957031,380.1590576171875,336.33001708984375,43.82904052734375,,3.0992629528045654,406.8056335449219,0.859886646270752,7.981163501739502,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.6515350341797,84.15739440917969,12.148530960083008,2.2366790771484375,0,10,0,0,2026-07-10T15:38:47.622Z,155.24000549316406,84.04000091552734,0,0,
2026-07-10,11:38:48.621,4.011076089227572e-05,-43.96739196777344,-118.70358276367188,381.3455505371094,336.33001708984375,45.015533447265625,,3.0992629528045654,417.8182678222656,0.8625704050064087,8.006072998046875,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.68479919433594,84.15869140625,12.14851188659668,2.2366600036621094,0,10,0,0,2026-07-10T15:38:48.621Z,155.47000122070312,84.05000305175781,0,0,
2026-07-10,11:38:49.630,4.0395461837761104e-05,-43.936676025390625,-118.67308807373047,384.03228759765625,336.33001708984375,47.7022705078125,,3.0992629528045654,442.755615234375,0.868647575378418,8.062479019165039,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.71807861328125,84.15998840332031,12.148493766784668,2.2366418838500977,0,10,0,0,2026-07-10T15:38:49.630Z,155.5800018310547,84.05999755859375,0,0,
2026-07-10,11:38:50.648,4.063798041897826e-05,-43.91067886352539,-118.6485595703125,386.2072448730469,336.33001708984375,49.877227783203125,,3.0992629528045654,462.9427490234375,0.8735671639442444,8.10814094543457,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.75137329101562,84.16128540039062,12.14847469329834,2.2366228103637695,0,10,0,0,2026-07-10T15:38:50.648Z,155.77999877929688,84.05999755859375,0,0,
